"kwhTotal","dollars","chargeTimeHrs","distance","managerVehicle","facilityType","target"
"4.45","0.0","2.473611111","32.8745456","0","3","1.0"
"4.59","0.0","3.652777778","32.8745456","0","3","1.0"
"7.39","0.0","2.544444444","32.8745456","0","3","1.0"
"3.84","0.0","3.805277778","32.8745456","0","3","1.0"
"3.48","0.0","1.244722222","32.8745456","0","3","0.0"
"4.38","0.0","2.551944444","32.8745456","0","3","1.0"
"4.92","0.0","2.144722222","32.8745456","0","3","1.0"
"4.72","0.0","3.881388889","32.8745456","0","3","1.0"
"6.5","0.0","2.665833333","32.8745456","0","3","1.0"
"4.08","0.0","1.468333333","32.8745456","0","3","1.0"
"0.76","0.0","0.263611111","32.8745456","0","3","1.0"
"4.6","0.0","3.771666667","32.8745456","0","3","1.0"
"4.35","0.0","3.986944444","32.8745456","0","3","1.0"
"5.25","0.0","2.526388889","32.8745456","0","3","1.0"
"4.14","0.0","2.178888889","32.8745456","0","3","0.0"
"6.59","0.0","3.727222222","32.8745456","0","3","1.0"
"7.11","0.0","2.335277778","32.8745456","0","3","1.0"
"4.17","0.0","1.356388889","32.8745456","0","3","1.0"
"4.77","0.0","2.771666667","32.8745456","0","3","1.0"
"7.47","0.0","3.498055556","32.8745456","0","3","1.0"
"5.64","0.0","3.431388889","32.8745456","0","3","1.0"
"4.0","0.0","2.575555556","32.8745456","0","3","1.0"
"3.93","0.0","3.980555556","32.8745456","0","3","0.0"
"7.01","0.0","3.440555556","32.8745456","0","3","1.0"
"6.4","0.0","3.618611111","32.8745456","0","3","1.0"
"1.02","0.5","4.056944444","32.8745456","0","3","0.0"
"7.12","0.0","3.983611111","32.8745456","0","3","1.0"
"1.2","0.0","0.401388889","32.8745456","0","3","1.0"
"3.01","0.0","0.989444444","32.8745456","0","3","1.0"
"3.79","0.0","2.571944444","32.8745456","0","3","1.0"
"7.29","0.0","3.592777778","32.8745456","0","3","1.0"
"6.56","0.0","3.5325","32.8745456","0","3","1.0"
"1.81","0.0","3.805555556","32.8745456","0","3","1.0"
"4.6","0.0","3.796388889","32.8745456","0","3","1.0"
"4.16","0.0","3.208333333","32.8745456","0","3","1.0"
"5.47","0.0","3.293888889","32.8745456","0","3","1.0"
"1.38","0.0","3.680555556","32.8745456","0","3","1.0"
"4.3","0.0","3.47","32.8745456","0","3","1.0"
"6.13","0.0","2.751388889","32.8745456","0","3","0.0"
"5.88","0.0","1.890555556","32.8745456","0","3","1.0"
"5.16","0.0","2.881111111","32.8745456","0","3","1.0"
"6.66","0.0","3.178055556","32.8745456","0","3","0.0"
"0.31","0.0","1.846111111","32.8745456","0","3","0.0"
"1.73","0.0","0.578333333","32.8745456","0","3","1.0"
"3.97","0.0","1.311666667","32.8745456","0","3","1.0"
"4.77","0.0","3.406666667","32.8745456","0","3","1.0"
"3.79","0.0","2.088611111","32.8745456","0","3","1.0"
"6.56","0.0","3.940555556","32.8745456","0","3","1.0"
"5.07","0.0","3.983611111","32.8745456","0","3","1.0"
"4.17","0.0","2.016388889","32.8745456","0","3","1.0"
"2.87","0.0","3.966666667","32.8745456","0","3","1.0"
"10.01","0.0","3.018055556","32.8745456","0","3","0.0"
"6.33","0.0","3.591944444","32.8745456","0","3","0.0"
"1.3","0.0","3.461944444","32.8745456","0","3","1.0"
"4.16","0.0","3.081111111","32.8745456","0","3","1.0"
"5.68","0.0","2.894444444","32.8745456","0","3","1.0"
