"","TWSVM","TBSVM","Pin-GTWSVM","Pin-GTBSVM","Pin-SGTWSVM","Pin-SGTBSVM","Proposed approach"
"Waveform (v 1)","89.52","87.91","66.64","66.64","88.72","89.65","90.01"
"Waveform (v 2)","88.55","88.04","66.67","66.67","88.30","89.17","89.30"
