"","Live-disorders","Ionosphere","WPBC","Fertility","CMC","Haberman","German"
"TWSVM","64.4231","91.6981","76.2712","87.0968","69.2388","73.3696","74.9169"
"TBSVM","62.6923","91.6981","76.2712","87.0968","65.3979","73.3696","70.0997"
"Pin-GTWSVM","57.6923","93.5849","76.2712","87.0968","65.3979","73.3696","70.0997"
"Pin-GTBSVM","57.6923","92.7358","76.2712","87.0968","65.3979","73.3696","70.0997"
"Pin-SGTWSVM","66.8270","93.1132","78.8136","87.0968","71.6609","73.7500","71.3953"
"Pin-SGTBSVM","67.1154","94.5283","79.1525","87.0968","73.7024","73.7500","75.1495"
"Proposed approach","75.3600","95.7700","99.1200","95.0000","75.1200","74.1900","79.0000"
