"sessionId","kwhTotal","dollars","startTime","endTime","chargeTimeHrs","distance","userId","stationId","locationId","managerVehicle","facilityType","Mon","Tues","Wed","Thurs","Fri","Sat","Sun","reportedZip","target"
"9537925","13.5","0.0","12","15","2.549722222","32.8745456","35897499","801274","976902","0","3","0","0","0","0","1","0","0","0","1.0"
"5688787","4.71","0.0","16","17","1.074722222","32.8745456","35897499","250527","976902","0","3","0","0","0","0","1","0","0","0","1.0"
"2189714","5.58","0.0","14","16","1.247222222","32.8745456","35897499","405157","976902","0","3","1","0","0","0","0","0","0","0","1.0"
"9009117","0.78","0.0","16","16","0.241111111","32.8745456","35897499","612116","461655","0","3","1","0","0","0","0","0","0","0","0.0"
"6241251","4.1","0.0","16","17","1.03","32.8745456","35897499","250527","976902","0","3","0","1","0","0","0","0","0","0","1.0"
"4027242","0.03","0.0","17","17","0.021111111","32.8745456","35897499","250527","976902","0","3","0","0","1","0","0","0","0","0","1.0"
"1534730","16.2","0.0","17","19","2.934722222","32.8745456","35897499","250527","976902","0","3","0","0","0","1","0","0","0","0","1.0"
"4970729","7.73","0.0","17","18","1.651111111","32.8745456","35897499","355208","976902","0","3","1","0","0","0","0","0","0","0","1.0"
"5850084","7.04","0.0","12","14","2.568611111","32.8745456","35897499","355208","976902","0","3","0","1","0","0","0","0","0","0","1.0"
"5503753","2.13","0.0","17","18","0.828611111","32.8745456","35897499","728918","928191","0","3","0","1","0","0","0","0","0","0","1.0"
"8356365","6.51","0.0","12","14","2.320833333","32.8745456","35897499","549414","461655","0","3","0","0","1","0","0","0","0","0","0.0"
"7116934","6.67","0.5","11","15","4.082222222","32.8745456","35897499","405157","976902","0","3","0","0","0","1","0","0","0","0","1.0"
"4303750","5.47","0.0","17","18","1.961388889","32.8745456","35897499","280221","976902","0","3","0","0","0","1","0","0","0","0","1.0"
"7027707","7.71","0.0","15","19","3.696111111","32.8745456","35897499","250527","976902","0","3","0","0","1","0","0","0","0","0","1.0"
"4268564","7.3","0.0","17","21","3.531388889","32.8745456","35897499","944575","928191","0","3","1","0","0","0","0","0","0","0","0.0"
"7120657","7.88","0.0","16","19","3.363333333","32.8745456","35897499","738900","976902","0","3","0","1","0","0","0","0","0","0","1.0"
"7620374","3.79","0.5","11","15","4.147222222","32.8745456","35897499","738900","976902","0","3","0","0","1","0","0","0","0","0","1.0"
"8539198","1.93","0.0","16","17","0.998055556","32.8745456","35897499","207262","928191","0","3","0","0","1","0","0","0","0","0","1.0"
"9402479","6.11","0.0","16","18","2.003888889","32.8745456","35897499","728918","928191","0","3","1","0","0","0","0","0","0","0","1.0"
"4904971","5.36","0.0","17","20","3.470555556","32.8745456","35897499","355208","976902","0","3","0","1","0","0","0","0","0","0","1.0"
"9371693","11.36","0.0","18","20","2.311944444","32.8745456","35897499","405157","976902","0","3","0","0","0","1","0","0","0","0","1.0"
"9600945","5.07","0.0","16","19","3.3375","32.8745456","35897499","250527","976902","0","3","1","0","0","0","0","0","0","0","1.0"
"4047449","6.41","0.0","14","16","2.395555556","32.8745456","35897499","801274","976902","0","3","0","1","0","0","0","0","0","0","1.0"
"8906717","5.49","0.0","17","20","2.971111111","32.8745456","35897499","280221","976902","0","3","0","0","1","0","0","0","0","0","1.0"
"2151745","11.0","0.0","17","19","1.894444444","32.8745456","35897499","801274","976902","0","3","0","0","0","1","0","0","0","0","1.0"
"3904382","5.49","0.0","15","18","2.801666667","32.8745456","35897499","405157","976902","0","3","0","0","0","0","1","0","0","0","1.0"
"6412124","2.46","0.0","17","18","0.8025","32.8745456","35897499","355208","976902","0","3","1","0","0","0","0","0","0","0","1.0"
"9579135","14.18","0.0","16","20","3.964444444","32.8745456","35897499","405157","976902","0","3","0","1","0","0","0","0","0","0","1.0"
"3526792","4.35","0.0","15","18","3.0975","32.8745456","35897499","500856","976902","0","3","0","0","1","0","0","0","0","0","0.0"
"2103254","4.87","0.0","17","18","0.865277778","32.8745456","35897499","801274","976902","0","3","0","0","0","1","0","0","0","0","1.0"
"8767465","20.02","0.0","15","19","3.610555556","32.8745456","35897499","944515","976902","0","3","0","0","0","0","1","0","0","0","1.0"
"4927630","8.82","0.0","16","20","3.551666667","32.8745456","35897499","280221","976902","0","3","1","0","0","0","0","0","0","0","1.0"
"3661095","12.09","0.0","16","20","3.708333333","32.8745456","35897499","944515","976902","0","3","0","0","1","0","0","0","0","0","1.0"
"8681532","11.81","0.0","17","19","2.093055556","32.8745456","35897499","280221","976902","0","3","0","0","0","1","0","0","0","0","1.0"
"2847811","13.6","0.0","17","20","2.681388889","32.8745456","35897499","944515","976902","0","3","0","0","0","0","1","0","0","0","1.0"
"1779780","16.41","0.0","16","20","3.776388889","32.8745456","35897499","250527","976902","0","3","0","1","0","0","0","0","0","0","1.0"
"9038095","11.4","0.5","16","21","4.437777778","32.8745456","35897499","250527","976902","0","3","0","0","1","0","0","0","0","0","1.0"
"6839807","14.09","0.0","11","15","3.643055556","32.8745456","35897499","280221","976902","0","3","0","0","0","1","0","0","0","0","1.0"
"7513206","4.97","0.0","17","18","0.891388889","32.8745456","35897499","425476","928191","0","3","0","0","0","1","0","0","0","0","0.0"
"9651531","5.21","0.0","12","14","1.646388889","32.8745456","35897499","250527","976902","0","3","0","0","0","0","1","0","0","0","1.0"
"9066880","6.93","0.0","16","20","3.39","32.8745456","35897499","280221","976902","0","3","1","0","0","0","0","0","0","0","1.0"
